Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MidFingerArth_2_Link,-7.72737984711114E-11,0.0192405078371579,-0.00010048843452079,0,0,0,0.0012463584706168,4.35792623326026E-08,4.34177964785978E-16,-7.65384992352101E-15,7.61960950484379E-09,-7.06578261570178E-10,3.85710180743477E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/MidFingerArth_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/MidFingerArth_2_Link.STL,,RComp_MidFinger_Arthrosis2-1,MidFingerArth_2_Coor,Axis_MidFinger2_MidFinger3,MidFingerArth_2_Joint,continuous,0,0.0481999999999999,0,0,0,0,MidFingerArth_3_Link,-1,0,0,,,,,,,,,,,,
MidFingerArth_1_Link,-1.11022302462516E-16,0.00945540701335418,-0.00053333684236738,0,0,0,0.000565670175158326,1.20373014708609E-08,-3.72231275648862E-24,-8.27180612553028E-25,3.34879997123185E-09,-4.92081655953572E-10,9.84103347236076E-09,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/MidFingerArth_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/MidFingerArth_1_Link.STL,,RComp_MidFinger_Arthrosis1-1,MidFingerArth_1_Coor,Axis_MidFinger1_MidFinger2,MidFingerArth_1_Joint,continuous,0,0.0333280500386328,0,0,0,0,MidFingerArth_2_Link,-1,0,0,,,,,,,,,,,,
FourthFingerArth_4_Link,3.05311331771918E-16,0.00322769309742255,5.55111512312578E-17,0,0,0,0.00248334722292415,1.31432778272594E-07,3.87223924251386E-22,-2.20115563488276E-15,1.4357199774587E-08,-3.99476537074828E-22,1.3546798750571E-07,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_4_Link.STL,,RComp_FourthFinger_Arthrosis3_Aux1_Aux2-1,FourthFingerArth_4_Coor,Axis_FourthFinger4_Palm,FourthFingerArth_4_Joint,continuous,0.0158413525411462,0.0862362561371976,-0.00255995620301221,0,0.227050271472169,0,Palm_Link,0,0,-1,,,,,,,,,,,,
FourthFingerArth_3_Link,-8.0619622089273E-11,0.023473904845553,-7.94326384217225E-05,0,0,0,0.00137270637615468,8.4702648687294E-08,7.35434298221387E-16,-2.43104263000757E-15,7.98401759905561E-09,-3.23131591177425E-09,7.96698711972792E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_3_Link.STL,,RComp_FourthFinger_Arthrosis3-1,FourthFingerArth_3_Coor,Axis_FourthFinger3_FourthFinger4,FourthFingerArth_3_Joint,continuous,0,0.025758853392147,0,0,0,0,FourthFingerArth_4_Link,-1,0,0,,,,,,,,,,,,
FourthFingerArth_2_Link,-0.00011323523727147,0.0190543601725274,-0.000103783132783419,0,0,0,0.00120674604010847,4.19180849917177E-08,1.76423907882524E-10,-5.03623171845301E-15,7.45113368949661E-09,-7.06556112444635E-10,3.69752507842939E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_2_Link.STL,,RComp_FourthFinger_Arthrosis2-1,FourthFingerArth_2_Coor,Axis_FourthFinger2_FourthFinger3,FourthFingerArth_2_Joint,continuous,0,0.0421689103147308,0,0,0,0,FourthFingerArth_3_Link,-1,0,0,,,,,,,,,,,,
FourthFingerArth_1_Link,2.77555756156289E-17,0.00945540701335471,-0.000533336842367338,0,0,0,0.000565670175158327,1.2037301470861E-08,2.016252743098E-24,7.85821581925376E-24,3.34879997123188E-09,-4.9208165595357E-10,9.84103347236081E-09,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/FourthFingerArth_1_Link.STL,,RComp_FourthFinger_Arthrosis1-1,FourthFingerArth_1_Coor,Axis_FourthFinger1_FourthFinger2,FourthFingerArth_1_Joint,continuous,0,0.0333280500386341,0,0,0,0,FourthFingerArth_2_Link,-1,0,0,,,,,,,,,,,,
LittleFingerArth_4_Link,-1.94289029309402E-16,0.00322769309742323,1.38777878078145E-16,0,0,0,0.00248334722292415,1.31432778272595E-07,5.0801814307827E-22,-2.20115562826532E-15,1.4357199774587E-08,-1.56388834560807E-22,1.3546798750571E-07,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_4_Link.STL,,RComp_LittleFinger_Arthrosis3_Aux1_Aux2-1,LittleFingerArth_4_Coor,Axis_LittleFinger4_Palm,LittleFingerArth_4_Joint,continuous,0.0380834548483633,0.0869571538128283,-0.0101752596541082,-0.0626625298576056,0.390601949010417,-0.163326502886668,Palm_Link,0,0,1,,,,,,,,,,,,
LittleFingerArth_3_Link,1.08981185187318E-10,0.0192053552439189,-9.29838725036991E-05,0,0,0,0.00117267506447727,4.20262066334895E-08,-6.7384442778791E-16,-1.8893123737965E-15,7.11298389437238E-09,-1.18298592345558E-09,3.73310439147629E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_3_Link.STL,,RComp_LittleFinger_Arthrosis3-1,LittleFingerArth_3_Coor,Axis_FourthFinger3_FourthFinger4,LittleFingerArth_3_Joint,continuous,0,0.0257588533921475,0,0,0,0,LittleFingerArth_4_Link,-0.97466526256011,-0.148230073829968,-0.167497675121158,,,,,,,,,,,,
LittleFingerArth_2_Link,8.20984946692249E-11,0.0188555768821963,-0.000107309537622169,0,0,0,0.00116713362770389,4.02569081680199E-08,-2.95333656181806E-16,-2.05161546867337E-15,7.28265773571736E-09,-7.0657848920269E-10,3.53794841200505E-08,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_2_Link.STL,,RComp_LittleFinger_Arthrosis2-1,LittleFingerArth_2_Coor,Axis_FourthFinger2_FourthFinger3,LittleFingerArth_2_Joint,continuous,0,0.0338342375518586,0,0,0,0,LittleFingerArth_3_Link,-0.974665262560157,-0.148230073829987,-0.167497675120869,,,,,,,,,,,,
LittleFingerArth_1_Link,-5.55111512312578E-17,0.0094554070133539,-0.000533336842366949,0,0,0,0.000565670175158326,1.2037301470861E-08,2.54616532301479E-24,7.44462551297725E-24,3.34879997123184E-09,-4.92081655953564E-10,9.84103347236078E-09,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Arm_R.SLDASM/meshes/LittleFingerArth_1_Link.STL,,RComp_LittleFinger_Arthrosis1-1,LittleFingerArth_1_Coor,Axis_LittleFinger2_LittleFinger1,LittleFingerArth_1_Joint,continuous,0,0.0333280500386338,0,0,0,0,LittleFingerArth_2_Link,-1,0,0,,,,,,,,,,,,
